,Country/Area,coal,oil/gas,solar,wind,hydropower,nuclear,bioenergy,geothermal
Capacity (MW),Republic of the Congo,0.0,534.0,2.0,0.0,120.0,0.0,0.0,0.0
Capacity (MW),Romania,2260.0,3069.8,1761.6918947368422,5436.0,4942.0,1411.0,30.0,0.0
Capacity (MW),Russia,37312.1,111896.6,2213.042,2453.2,51279.0,28576.0,154.0,50.0
Capacity (MW),Rwanda,0.0,56.0,11.784724409448819,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Réunion,0.0,219.6,122.258,6.8,0.0,0.0,41.0,0.0
Capacity (MW),Samoa,0.0,0.0,7.806292035398231,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Sao Tome and Principe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Saudi Arabia,0.0,97285.4,3304.635,400.0,0.0,0.0,0.0,0.0
Capacity (MW),Senegal,155.0,713.5,229.96154855643044,208.0,0.0,0.0,0.0,0.0
Capacity (MW),Serbia,4785.0,549.0,34.066,509.6,1342.0,0.0,30.0,0.0
Capacity (MW),Seychelles,0.0,58.0,7.175,6.0,0.0,0.0,0.0,0.0
Capacity (MW),Sierra Leone,0.0,162.0,20.15,0.0,0.0,0.0,32.0,0.0
Capacity (MW),Singapore,0.0,13914.0,360.389,0.0,0.0,0.0,200.0,0.0
Capacity (MW),Slovakia,274.0,1075.8899999999999,445.95,0.0,1746.0,2471.0,0.0,0.0
Capacity (MW),Slovenia,1069.0,535.0,30.0,0.0,422.0,727.0,0.0,0.0
Capacity (MW),Solomon Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Somalia,0.0,65.0,26.56,0.0,0.0,0.0,0.0,0.0
Capacity (MW),South Africa,44224.1,3705.3,3992.285902439024,3746.0,3492.0,1940.0,0.0,0.0
Capacity (MW),South Korea,41195.0,50358.4,7450.105731707317,1453.2,5960.0,27071.0,1049.0,0.0
Capacity (MW),South Sudan,0.0,85.0,45.24,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Spain,2115.2,30771.0,28013.66595766773,29970.9,13448.0,7408.0,543.0,0.0
Capacity (MW),Sri Lanka,900.0,1175.4,37.062,225.0,1098.0,0.0,0.0,0.0
Capacity (MW),Sudan,0.0,2150.9,11.0,0.0,1850.0,0.0,138.0,0.0
Capacity (MW),Suriname,0.0,63.0,7.0009999999999994,0.0,180.0,0.0,0.0,0.0
Capacity (MW),Sweden,0.0,2619.0,229.62,13663.4,10908.0,7184.0,2529.0,0.0
Capacity (MW),Switzerland,0.0,98.8,84.65848148148149,55.0,12218.0,3095.0,0.0,0.0
Capacity (MW),Syria,0.0,7384.5,95.905,0.0,1585.0,0.0,0.0,0.0
Capacity (MW),Taiwan,18116.0,20178.0,3666.7887741935483,3566.0,4128.0,1902.0,249.0,0.0
Capacity (MW),Tajikistan,400.0,206.0,0.0,0.0,8156.0,0.0,0.0,0.0
Capacity (MW),Tanzania,0.0,445.0,139.4,0.0,540.0,0.0,0.0,0.0
Capacity (MW),Thailand,6138.0,37812.7,3133.4746934306568,2137.0,3570.0,0.0,866.0,0.0
Capacity (MW),The Gambia,0.0,0.0,20.01,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Togo,0.0,165.0,45.9,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Trinidad and Tobago,0.0,2056.6,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Tunisia,0.0,5771.0,42.3,253.0,0.0,0.0,0.0,0.0
Capacity (MW),Turkmenistan,0.0,7087.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Türkiye,20473.2,26065.3,4077.178854961832,12992.5,22834.0,0.0,120.0,1186.0
Capacity (MW),Uganda,0.0,189.0,107.89,0.0,1413.0,0.0,30.0,0.0
Capacity (MW),Ukraine,4742.0,3098.9,5258.756,526.7,6247.0,13835.0,0.0,0.0
Capacity (MW),United Arab Emirates,0.0,41655.1,6353.055,99.0,0.0,5668.0,220.0,0.0
Capacity (MW),United Kingdom,0.0,36584.9,9030.81261016949,29775.7,3578.0,6534.0,4305.0,0.0
Capacity (MW),United States,194131.4,556245.3,121310.6060638298,152379.1,86625.0,102475.0,7263.0,3630.5
Capacity (MW),Uruguay,0.0,1132.0,292.8182,1535.4,593.0,0.0,650.0,0.0
Capacity (MW),Uzbekistan,2493.0,14388.8,1390.1419354838708,1000.0,1543.0,0.0,0.0,0.0
Capacity (MW),Vanuatu,0.0,0.0,0.9570000000000001,3.4,0.0,0.0,0.0,0.0
Capacity (MW),Venezuela,0.0,3714.6,1.1,0.0,16010.0,0.0,0.0,0.0
Capacity (MW),Vietnam,27239.0,8146.0,12901.80572413793,7403.1,14749.0,0.0,0.0,0.0
Capacity (MW),Virgin Islands (U.S.),0.0,0.0,9.2924,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Western Sahara,0.0,72.0,413.5444444444444,753.0,0.0,0.0,0.0,0.0
Capacity (MW),Yemen,0.0,1125.0,175.95,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Zambia,330.0,105.0,161.95,0.0,4098.0,0.0,40.0,0.0
Capacity (MW),Zimbabwe,1670.0,0.0,150.9417847769029,0.0,0.0,0.0,74.0,0.0
