,Country/Area,coal,oil/gas,solar,wind,hydropower,nuclear,bioenergy,geothermal
Capacity (MW),Republic of the Congo,0.0,534.0,0.0,0.0,120.0,0.0,0.0,0.0
Capacity (MW),Romania,2310.0,3069.8,1775.7,5436.0,4942.0,1411.0,30.0,0.0
Capacity (MW),Russia,37811.1,111539.9,2107.1,2453.2,51279.0,28576.0,154.0,50.0
Capacity (MW),Rwanda,0.0,56.0,7.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Réunion,0.0,219.6,52.1,0.0,0.0,0.0,41.0,0.0
Capacity (MW),Saudi Arabia,0.0,97285.4,776.0,400.0,0.0,0.0,0.0,0.0
Capacity (MW),Senegal,155.0,713.5,240.0,208.0,0.0,0.0,0.0,0.0
Capacity (MW),Serbia,4435.0,549.0,39.6,509.6,1342.0,0.0,30.0,0.0
Capacity (MW),Seychelles,0.0,58.0,5.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Sierra Leone,0.0,162.0,11.0,0.0,0.0,0.0,32.0,0.0
Capacity (MW),Singapore,0.0,13914.0,336.5,0.0,0.0,0.0,200.0,0.0
Capacity (MW),Slovakia,274.0,1000.9,449.2,0.0,1746.0,2471.0,0.0,0.0
Capacity (MW),Slovenia,1069.0,535.0,30.0,0.0,422.0,727.0,0.0,0.0
Capacity (MW),Somalia,0.0,65.0,18.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),South Africa,44224.1,3705.3,3228.9,3742.0,3492.0,1940.0,0.0,0.0
Capacity (MW),South Korea,41184.0,48236.4,1747.9,1386.0,5960.0,27071.0,1049.0,0.0
Capacity (MW),South Sudan,0.0,85.0,12.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Spain,2900.5,30698.0,29270.5,29485.37,13448.0,7408.0,543.0,0.0
Capacity (MW),Sri Lanka,900.0,955.4,42.6,225.0,1098.0,0.0,0.0,0.0
Capacity (MW),Sudan,0.0,2150.9,0.0,0.0,1850.0,0.0,138.0,0.0
Capacity (MW),Suriname,0.0,63.0,7.3,0.0,180.0,0.0,0.0,0.0
Capacity (MW),Sweden,0.0,2669.0,195.4,13477.4,10908.0,7184.0,2529.0,0.0
Capacity (MW),Switzerland,0.0,55.0,96.8,55.0,12218.0,3095.0,0.0,0.0
Capacity (MW),Syria,0.0,6918.5,52.0,0.0,1585.0,0.0,0.0,0.0
Capacity (MW),Taiwan,19156.0,19054.0,2080.3,2546.0,4128.0,1902.0,249.0,0.0
Capacity (MW),Tajikistan,400.0,206.0,0.0,0.0,8156.0,0.0,0.0,0.0
Capacity (MW),Tanzania,0.0,445.0,0.0,0.0,540.0,0.0,0.0,0.0
Capacity (MW),Thailand,6138.0,37187.7,1860.2,2092.0,3570.0,0.0,866.0,0.0
Capacity (MW),The Gambia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Togo,0.0,165.0,50.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Trinidad and Tobago,0.0,2056.6,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Tunisia,0.0,5771.0,54.8,253.0,0.0,0.0,0.0,0.0
Capacity (MW),Turkmenistan,0.0,7087.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Türkiye,20473.2,26065.3,2788.0,11943.6,22834.0,0.0,120.0,1186.0
Capacity (MW),Uganda,0.0,189.0,48.7,0.0,1413.0,0.0,30.0,0.0
Capacity (MW),Ukraine,5422.0,2843.9,5628.7,467.7,6247.0,13835.0,0.0,0.0
Capacity (MW),United Arab Emirates,0.0,41319.1,5616.0,0.0,0.0,5668.0,220.0,0.0
Capacity (MW),United Kingdom,2172.0,36207.4,9805.9,32598.2,3578.0,6534.0,4305.0,0.0
Capacity (MW),United States,196215.4,556728.0,79363.5,144962.0,86625.0,102475.0,7263.0,3630.5
Capacity (MW),Uruguay,0.0,1132.0,292.1,1526.4,593.0,0.0,650.0,0.0
Capacity (MW),Uzbekistan,2493.0,13792.0,209.0,0.0,1543.0,0.0,0.0,0.0
Capacity (MW),Venezuela,0.0,4184.6,0.0,0.0,16010.0,0.0,0.0,0.0
Capacity (MW),Vietnam,27239.0,8146.0,13100.4,6466.0,14749.0,0.0,0.0,0.0
Capacity (MW),Virgin Islands (U.S.),0.0,0.0,10.4,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Western Sahara,0.0,72.0,455.0,553.0,0.0,0.0,0.0,0.0
Capacity (MW),Yemen,0.0,1125.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Zambia,330.0,105.0,121.0,0.0,4098.0,0.0,40.0,0.0
Capacity (MW),Zimbabwe,1670.0,0.0,124.8,0.0,0.0,0.0,74.0,0.0
