,Country,Status,Non-fossil,Fossil,Non-fossil share,Fossil share
3,Luxembourg,Pre-construction,27.0,0.0,1.0,0.0
1,Luxembourg,Construction,32.6,0.0,1.0,0.0
2,Luxembourg,Operating,1474.6274814814815,0.0,1.0,0.0
0,Macao,Announced,0.0,450.0,0.0,1.0
3,Macao,Pre-construction,0.0,0.0,0.0,0.0
1,Macao,Construction,0.0,0.0,0.0,0.0
2,Macao,Operating,58.7,407.2,0.12599270229663018,0.8740072977033698
0,Madagascar,Announced,429.5923884514435,0.0,1.0,0.0
3,Madagascar,Pre-construction,267.4267716535433,30.0,0.8991348363389917,0.10086516366100834
1,Madagascar,Construction,208.0,0.0,1.0,0.0
2,Madagascar,Operating,158.83569553805773,291.0,0.3530971354953748,0.6469028645046252
0,Malawi,Announced,505.9685039370079,150.0,0.771330484467278,0.22866951553272194
3,Malawi,Pre-construction,922.9015748031496,400.0,0.6976343458813096,0.3023656541186904
1,Malawi,Construction,52.54461942257218,0.0,1.0,0.0
2,Malawi,Operating,450.37,0.0,1.0,0.0
0,Malaysia,Announced,3992.6774074074074,2600.0,0.6056230512540035,0.3943769487459965
3,Malaysia,Pre-construction,1438.4703703703703,3700.0,0.2799413573862231,0.7200586426137767
1,Malaysia,Construction,1875.874074074074,0.0,1.0,0.0
2,Malaysia,Operating,8533.747592592592,31528.0,0.21301486094357203,0.786985139056428
0,Maldives,Announced,0.0,0.0,0.0,0.0
3,Maldives,Pre-construction,23.66464435146444,0.0,1.0,0.0
1,Maldives,Construction,1.5,0.0,1.0,0.0
2,Maldives,Operating,0.0,50.0,0.0,1.0
0,Mali,Announced,778.0472440944882,0.0,1.0,0.0
3,Mali,Pre-construction,223.41,0.0,1.0,0.0
1,Mali,Construction,267.8923884514436,0.0,1.0,0.0
2,Mali,Operating,576.7784776902887,254.0,0.694262662284939,0.3057373377150609
0,Malta,Announced,0.0,0.0,0.0,0.0
3,Malta,Pre-construction,0.0,0.0,0.0,0.0
1,Malta,Construction,0.0,0.0,0.0,0.0
2,Malta,Operating,3.0,547.8,0.0054466230936819175,0.9945533769063181
0,Marshall Islands,Announced,0.0,0.0,0.0,0.0
3,Marshall Islands,Pre-construction,3.48,0.0,1.0,0.0
1,Marshall Islands,Construction,0.0,0.0,0.0,0.0
2,Marshall Islands,Operating,0.0,0.0,0.0,0.0
0,Martinique,Announced,0.0,0.0,0.0,0.0
3,Martinique,Pre-construction,0.0,0.0,0.0,0.0
1,Martinique,Construction,11.0,0.0,1.0,0.0
2,Martinique,Operating,81.95,279.6,0.22666297884110082,0.7733370211588992
0,Mauritania,Announced,105132.02099737534,180.0,0.9982907934128006,0.0017092065871994432
3,Mauritania,Pre-construction,0.0,120.0,0.0,1.0
1,Mauritania,Construction,0.0,0.0,0.0,0.0
2,Mauritania,Operating,263.2035433070866,420.0,0.38524908994621787,0.614750910053782
0,Mauritius,Announced,287.69863517060367,0.0,1.0,0.0
3,Mauritius,Pre-construction,24.04461942257218,0.0,1.0,0.0
1,Mauritius,Construction,45.0,0.0,1.0,0.0
2,Mauritius,Operating,186.25882677165356,195.0,0.48853643166459493,0.5114635683354051
0,Mayotte,Announced,0.0,0.0,0.0,0.0
3,Mayotte,Pre-construction,0.0,0.0,0.0,0.0
