,Country/Area,coal,oil/gas,solar,wind,hydropower,nuclear,bioenergy,geothermal
Capacity (MW),Serbia,350.0,0.0,0.0,262.5,0.0,0.0,0.0,0.0
Capacity (MW),Seychelles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Sierra Leone,0.0,83.5,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Singapore,0.0,2480.0,0.0,0.0,0.0,0.0,80.0,0.0
Capacity (MW),Slovakia,0.0,0.0,0.0,0.0,0.0,471.0,0.0,0.0
Capacity (MW),Slovenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Somalia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),South Africa,800.0,0.0,1499.0,733.0,0.0,0.0,0.0,0.0
Capacity (MW),South Korea,1050.0,4248.0,912.0,876.0,0.0,2800.0,220.0,0.0
Capacity (MW),South Sudan,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Spain,0.0,0.0,7771.2,1710.5,200.0,0.0,146.0,0.0
Capacity (MW),Sri Lanka,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Sudan,0.0,731.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Suriname,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Sweden,0.0,0.0,90.0,3349.4,0.0,0.0,75.0,0.0
Capacity (MW),Switzerland,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0
Capacity (MW),Syria,0.0,2610.0,158.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Taiwan,0.0,9637.0,1760.0,3734.0,0.0,0.0,0.0,0.0
Capacity (MW),Tajikistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Tanzania,0.0,0.0,50.0,0.0,2115.0,0.0,0.0,0.0
Capacity (MW),Thailand,0.0,780.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),The Gambia,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Togo,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Trinidad and Tobago,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Tunisia,0.0,0.0,420.0,30.0,0.0,0.0,0.0,0.0
Capacity (MW),Turkmenistan,0.0,1574.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Türkiye,145.0,890.0,1350.2,691.0,160.0,4800.0,0.0,19.0
Capacity (MW),Uganda,0.0,0.0,23.0,20.0,0.0,0.0,0.0,0.0
Capacity (MW),Ukraine,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),United Arab Emirates,0.0,4025.1,1552.0,30.0,250.0,0.0,0.0,0.0
Capacity (MW),United Kingdom,0.0,814.7,1862.7,7839.2,0.0,3440.0,875.0,25.0
Capacity (MW),United States,0.0,14319.0,28444.6,11661.0,0.0,0.0,36.0,155.0
Capacity (MW),Uruguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Uzbekistan,0.0,5918.0,100.0,1000.0,476.0,0.0,0.0,0.0
Capacity (MW),Venezuela,0.0,0.0,0.0,0.0,2700.0,0.0,0.0,0.0
Capacity (MW),Vietnam,4043.0,3904.0,894.0,816.0,1782.0,0.0,164.0,0.0
Capacity (MW),Virgin Islands (U.S.),0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Western Sahara,0.0,0.0,0.0,380.0,0.0,0.0,0.0,0.0
Capacity (MW),Yemen,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Zambia,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Zimbabwe,270.0,0.0,685.0,0.0,0.0,0.0,0.0,0.0
