Country,Type,Age Category,Capacity (GW),Capacity %
G20,Utility-scale solar,50+ years,0.0,0.0
G20,Wind,0-9 years,649.3708,8.635370053855592
G20,Wind,10-19 years,342.08140000000003,4.549018030285619
G20,Wind,20-29 years,38.18,0.5077198245689619
G20,Wind,30-39 years,1.0491,0.013950991827011469
G20,Wind,40-49 years,0.2112,0.002808549684362618
G20,Wind,50+ years,0.023,0.0003058553160053988
G20,Hydropower,0-9 years,149.452,1.9874212472886459
G20,Hydropower,10-19 years,250.615,3.332692609595348
G20,Hydropower,20-29 years,86.123,1.1452685817536068
G20,Hydropower,30-39 years,86.765,1.1538059344873226
G20,Hydropower,40-49 years,129.452,1.7214601029361252
G20,Hydropower,50+ years,328.5505,4.369083347879641
G20,Nuclear,0-9 years,48.472,0.644583429452769
G20,Nuclear,10-19 years,40.731,0.5416431685311259
G20,Nuclear,20-29 years,28.79,0.3828510672954535
G20,Nuclear,30-39 years,80.893,1.0757197425054226
G20,Nuclear,40-49 years,135.063,1.7960755019842247
G20,Nuclear,50+ years,37.423,0.497653195255219
G20,Bioenergy,0-9 years,41.247606,0.5485130246780948
G20,Bioenergy,10-19 years,28.951179,0.3849944348597332
G20,Bioenergy,20-29 years,9.697445,0.12895717847478147
G20,Bioenergy,30-39 years,7.86209,0.10455052267012545
G20,Bioenergy,40-49 years,5.5097,0.07326830585195415
G20,Bioenergy,50+ years,6.4015,0.08512751327863305
G20,Geothermal,0-9 years,2.8562600000000002,0.03798270890841653
G20,Geothermal,10-19 years,2.66045,0.035378816324633175
G20,Geothermal,20-29 years,1.35775,0.018055437187231745
G20,Geothermal,30-39 years,1.9073,0.025363384531178132
G20,Geothermal,40-49 years,1.915,0.02546577957175385
G20,Geothermal,50+ years,0.3902,0.005188901926317678
OECD,Coal,0-9 years,34.916,1.1080520171707584
OECD,Coal,10-19 years,66.49419999999999,2.110179643720811
OECD,Coal,20-29 years,49.0089,1.5552872752984297
OECD,Coal,30-39 years,50.2473,1.5945876424099052
OECD,Coal,40-49 years,117.6484,3.7335475695071674
OECD,Coal,50+ years,93.365,2.962918907754263
OECD,Oil and gas,0-9 years,177.94404999999998,5.647017514779307
OECD,Oil and gas,10-19 years,272.41245999999995,8.644952909996807
OECD,Oil and gas,20-29 years,411.1639,13.048201076377477
OECD,Oil and gas,30-39 years,91.8923,2.916183078745002
OECD,Oil and gas,40-49 years,42.5505,1.3503312910019578
OECD,Oil and gas,50+ years,94.477,2.9982079970856264
OECD,Utility-scale solar,0-9 years,310.22062877456705,9.844787303289039
OECD,Utility-scale solar,10-19 years,61.767540596585725,1.9601800880319487
OECD,Utility-scale solar,20-29 years,0.38429199999999997,0.012195426904072203
OECD,Utility-scale solar,30-39 years,0.0,0.0
OECD,Utility-scale solar,40-49 years,0.005,0.00015867396282087844
OECD,Utility-scale solar,50+ years,0.0,0.0
OECD,Wind,0-9 years,230.8844,7.3270685403041655
OECD,Wind,10-19 years,171.8319,5.4530497024081805
OECD,Wind,20-29 years,36.8515,1.1694747081787205
OECD,Wind,30-39 years,0.9271,0.029421326186247283
OECD,Wind,40-49 years,0.2112,0.006702388189553906
OECD,Wind,50+ years,0.023,0.0007299002289760408
OECD,Hydropower,0-9 years,15.551,0.49350775916549616
OECD,Hydropower,10-19 years,31.725,1.0067862940984738
OECD,Hydropower,20-29 years,18.124,0.5751613804331203
OECD,Hydropower,30-39 years,46.801,1.4852200267959863
OECD,Hydropower,40-49 years,73.728,2.339742786171545
OECD,Hydropower,50+ years,269.969,8.567410213757947
OECD,Nuclear,0-9 years,12.332,0.3913534619014146
OECD,Nuclear,10-19 years,6.897,0.2188748643151197
OECD,Nuclear,20-29 years,18.703,0.5935358253277779
OECD,Nuclear,30-39 years,69.887,2.2178494479325463
OECD,Nuclear,40-49 years,123.25,3.911313183534654
OECD,Nuclear,50+ years,36.5,1.1583199285924126
OECD,Bioenergy,0-9 years,9.446005999999999,0.29976704096995893
OECD,Bioenergy,10-19 years,10.411379,0.330402952872015
OECD,Bioenergy,20-29 years,5.701944999999999,0.18095004178733876
OECD,Bioenergy,30-39 years,6.9686900000000005,0.22114993159404553
OECD,Bioenergy,40-49 years,4.8694,0.1545293989119971
OECD,Bioenergy,50+ years,5.7075,0.18112632856003275
OECD,Geothermal,0-9 years,2.1436599999999997,0.06802860542812085
OECD,Geothermal,10-19 years,2.4255,0.07697273936440813
OECD,Geothermal,20-29 years,1.3168,0.041788374848506546
OECD,Geothermal,30-39 years,1.8224,0.057833485968953775
OECD,Geothermal,40-49 years,1.923,0.06102600610090986
OECD,Geothermal,50+ years,0.5712,0.018126913512657154
African Union,Coal,0-9 years,11.545,4.331714023916443
African Union,Coal,10-19 years,2.9493,1.1065850299468831
African Union,Coal,20-29 years,4.279,1.6054919279634872
African Union,Coal,30-39 years,14.016,5.2588396499967835
African Union,Coal,40-49 years,13.0313,4.889377649186864
African Union,Coal,50+ years,7.062,2.649680765430742
African Union,Oil and gas,0-9 years,46.94310000000001,17.613173200182935
African Union,Oil and gas,10-19 years,51.6845,19.39215881066344
African Union,Oil and gas,20-29 years,14.159799999999999,5.312793783962931
African Union,Oil and gas,30-39 years,9.818,3.683739132681822
African Union,Oil and gas,40-49 years,7.303,2.740104592175122
African Union,Oil and gas,50+ years,0.997,0.3740769927972883
African Union,Utility-scale solar,0-9 years,12.473764825212607,4.6801890016811685
African Union,Utility-scale solar,10-19 years,2.071650375959509,0.777288608592081
African Union,Utility-scale solar,20-29 years,0.0,0.0
African Union,Utility-scale solar,30-39 years,0.0,0.0
African Union,Utility-scale solar,40-49 years,0.0,0.0
African Union,Utility-scale solar,50+ years,0.0,0.0
African Union,Wind,0-9 years,8.152,3.0586516000837456
African Union,Wind,10-19 years,3.0786,1.1550987262043448
African Union,Wind,20-29 years,0.245,0.09192463714677596
African Union,Wind,30-39 years,0.0,0.0
African Union,Wind,40-49 years,0.0,0.0
African Union,Wind,50+ years,0.0,0.0
African Union,Hydropower,0-9 years,15.606,5.855411784949329
African Union,Hydropower,10-19 years,7.755,2.9096961676459085
African Union,Hydropower,20-29 years,2.365,0.8873541504168374
African Union,Hydropower,30-39 years,2.211,0.8295729499245782
African Union,Hydropower,40-49 years,6.66,2.49884931998991
African Union,Hydropower,50+ years,12.609,4.73092959095387
African Union,Nuclear,0-9 years,0.0,0.0
African Union,Nuclear,10-19 years,0.0,0.0
African Union,Nuclear,20-29 years,0.0,0.0
African Union,Nuclear,30-39 years,0.0,0.0
African Union,Nuclear,40-49 years,1.94,0.727893045162226
African Union,Nuclear,50+ years,0.0,0.0
African Union,Bioenergy,0-9 years,0.256,0.0960518657533659
African Union,Bioenergy,10-19 years,0.37839999999999996,0.14197666406669396
African Union,Bioenergy,20-29 years,0.041,0.015383306624562509
African Union,Bioenergy,30-39 years,0.0295,0.011068476717673024
African Union,Bioenergy,40-49 years,0.0345,0.01294448972066845
African Union,Bioenergy,50+ years,0.045700000000000005,0.01714675884737821
African Union,Geothermal,0-9 years,0.317,0.11893922438991013
African Union,Geothermal,10-19 years,0.4055,0.1521446545429292
African Union,Geothermal,20-29 years,0.129,0.04840113547728203
African Union,Geothermal,30-39 years,0.0,0.0
African Union,Geothermal,40-49 years,0.0,0.0
African Union,Geothermal,50+ years,0.0,0.0
Afghanistan,Oil and gas,0-9 years,0.04,5.706849593815133
Afghanistan,Oil and gas,10-19 years,0.1316,18.77553516365179
Afghanistan,Oil and gas,20-29 years,0.0,0.0
Afghanistan,Oil and gas,30-39 years,0.0,0.0
Afghanistan,Oil and gas,40-49 years,0.0,0.0
Afghanistan,Oil and gas,50+ years,0.0,0.0
Afghanistan,Utility-scale solar,0-9 years,0.06987211170784102,9.968740807972456
Afghanistan,Utility-scale solar,10-19 years,0.01044,1.4894877439857497
Afghanistan,Utility-scale solar,20-29 years,0.0,0.0
Afghanistan,Utility-scale solar,30-39 years,0.0,0.0
Afghanistan,Utility-scale solar,40-49 years,0.0,0.0
Afghanistan,Utility-scale solar,50+ years,0.0,0.0
Afghanistan,Hydropower,0-9 years,0.1,14.267123984537832
Afghanistan,Hydropower,10-19 years,0.042,5.99219207350589
Afghanistan,Hydropower,20-29 years,0.0,0.0
Afghanistan,Hydropower,30-39 years,0.0,0.0
Afghanistan,Hydropower,40-49 years,0.0,0.0
Afghanistan,Hydropower,50+ years,0.212,30.246302847220207
Albania,Utility-scale solar,0-9 years,0.3204331756609924,15.328553880210583
Albania,Utility-scale solar,10-19 years,0.0,0.0
Albania,Utility-scale solar,20-29 years,0.0,0.0
Albania,Utility-scale solar,30-39 years,0.0,0.0
Albania,Utility-scale solar,40-49 years,0.0,0.0
Albania,Utility-scale solar,50+ years,0.0,0.0
Albania,Hydropower,0-9 years,0.269,12.86814633119963
Albania,Hydropower,10-19 years,0.151,7.223383256547006
Albania,Hydropower,20-29 years,0.0,0.0
Albania,Hydropower,30-39 years,0.0,0.0
Albania,Hydropower,40-49 years,1.1,52.620672729812625
Albania,Hydropower,50+ years,0.25,11.959243802230143
Algeria,Oil and gas,0-9 years,9.3686,33.21421080464276
Algeria,Oil and gas,10-19 years,9.893,35.0733500726182
Algeria,Oil and gas,20-29 years,2.827,10.022476564772226
Algeria,Oil and gas,30-39 years,1.992,7.062176624346048
Algeria,Oil and gas,40-49 years,1.204,4.268504345237269
Algeria,Oil and gas,50+ years,0.395,1.4003814089441207
Algeria,Utility-scale solar,0-9 years,0.268681875,0.9525496270132865
Algeria,Utility-scale solar,10-19 years,0.151319375,0.5364679482608704
Algeria,Utility-scale solar,20-29 years,0.0,0.0
Algeria,Utility-scale solar,30-39 years,0.0,0.0
Algeria,Utility-scale solar,40-49 years,0.0,0.0
Algeria,Utility-scale solar,50+ years,0.0,0.0
Algeria,Wind,0-9 years,0.0,0.0
Algeria,Wind,10-19 years,0.01,0.03545269389731952
Algeria,Wind,20-29 years,0.0,0.0
Algeria,Wind,30-39 years,0.0,0.0
Algeria,Wind,40-49 years,0.0,0.0
Algeria,Wind,50+ years,0.0,0.0
Algeria,Hydropower,0-9 years,0.0,0.0
Algeria,Hydropower,10-19 years,0.0,0.0
Algeria,Hydropower,20-29 years,0.0,0.0
Algeria,Hydropower,30-39 years,0.0,0.0
Algeria,Hydropower,40-49 years,0.0,0.0
Algeria,Hydropower,50+ years,0.196,0.6948728003874625
Andorra,Utility-scale solar,0-9 years,0.0033,4.97737556561086
Andorra,Utility-scale solar,10-19 years,0.0,0.0
Andorra,Utility-scale solar,20-29 years,0.0,0.0
Andorra,Utility-scale solar,30-39 years,0.0,0.0
Andorra,Utility-scale solar,40-49 years,0.0,0.0
Andorra,Utility-scale solar,50+ years,0.0,0.0
Andorra,Hydropower,0-9 years,0.0,0.0
Andorra,Hydropower,10-19 years,0.0,0.0
Andorra,Hydropower,20-29 years,0.0,0.0
Andorra,Hydropower,30-39 years,0.0,0.0
Andorra,Hydropower,40-49 years,0.0,0.0
Andorra,Hydropower,50+ years,0.045,67.87330316742081
Angola,Oil and gas,0-9 years,0.804,15.396774102615746
Angola,Oil and gas,10-19 years,0.0,0.0
Angola,Oil and gas,20-29 years,0.0,0.0
Angola,Oil and gas,30-39 years,0.0,0.0
Angola,Oil and gas,40-49 years,0.0,0.0
Angola,Oil and gas,50+ years,0.0,0.0
Angola,Utility-scale solar,0-9 years,0.48887306666666663,9.362025089949844
Angola,Utility-scale solar,10-19 years,0.0,0.0
Angola,Utility-scale solar,20-29 years,0.0,0.0
Angola,Utility-scale solar,30-39 years,0.0,0.0
Angola,Utility-scale solar,40-49 years,0.0,0.0
Angola,Utility-scale solar,50+ years,0.0,0.0
Angola,Wind,0-9 years,0.0,0.0
Angola,Wind,10-19 years,0.05,0.9575108272770985
Angola,Wind,20-29 years,0.0,0.0
Angola,Wind,30-39 years,0.0,0.0
Angola,Wind,40-49 years,0.0,0.0
Angola,Wind,50+ years,0.0,0.0
Angola,Hydropower,0-9 years,2.77,53.04609983115126
Angola,Hydropower,10-19 years,0.11,2.106523820009617
Angola,Hydropower,20-29 years,0.52,9.958112603681824
Angola,Hydropower,30-39 years,0.0,0.0
Angola,Hydropower,40-49 years,0.0,0.0
Angola,Hydropower,50+ years,0.254,4.86415500256766
Angola,Bioenergy,0-9 years,0.0,0.0
Angola,Bioenergy,10-19 years,0.1,1.915021654554197
Angola,Bioenergy,20-29 years,0.0,0.0
Angola,Bioenergy,30-39 years,0.0,0.0
Angola,Bioenergy,40-49 years,0.0,0.0
Angola,Bioenergy,50+ years,0.0,0.0
Anguilla,Utility-scale solar,0-9 years,0.0012,100.0
Anguilla,Utility-scale solar,10-19 years,0.0,0.0
Anguilla,Utility-scale solar,20-29 years,0.0,0.0
Anguilla,Utility-scale solar,30-39 years,0.0,0.0
Anguilla,Utility-scale solar,40-49 years,0.0,0.0
Anguilla,Utility-scale solar,50+ years,0.0,0.0
Antigua and Barbuda,Utility-scale solar,0-9 years,0.010299999999999998,100.0
Antigua and Barbuda,Utility-scale solar,10-19 years,0.0,0.0
Antigua and Barbuda,Utility-scale solar,20-29 years,0.0,0.0
Antigua and Barbuda,Utility-scale solar,30-39 years,0.0,0.0
Antigua and Barbuda,Utility-scale solar,40-49 years,0.0,0.0
Antigua and Barbuda,Utility-scale solar,50+ years,0.0,0.0
Argentina,Coal,0-9 years,0.0,0.0
Argentina,Coal,10-19 years,0.0,0.0
Argentina,Coal,20-29 years,0.0,0.0
Argentina,Coal,30-39 years,0.0,0.0
Argentina,Coal,40-49 years,0.375,0.8690194083686346
Argentina,Coal,50+ years,0.15,0.34760776334745386
Argentina,Oil and gas,0-9 years,6.9162,16.027498752424403
Argentina,Oil and gas,10-19 years,5.119,11.86269427050411
Argentina,Oil and gas,20-29 years,7.233,16.761646348614224
Argentina,Oil and gas,30-39 years,1.147,2.6580406970635306
Argentina,Oil and gas,40-49 years,0.436,1.0103798987965993
Argentina,Oil and gas,50+ years,2.151,4.9846953264024885
Argentina,Utility-scale solar,0-9 years,2.6962441304347826,6.24823594412757
Argentina,Utility-scale solar,10-19 years,0.029765,0.06897696717357976
Argentina,Utility-scale solar,20-29 years,0.0,0.0
Argentina,Utility-scale solar,30-39 years,0.0,0.0
Argentina,Utility-scale solar,40-49 years,0.0,0.0
Argentina,Utility-scale solar,50+ years,0.0,0.0
Argentina,Wind,0-9 years,4.466,10.349441807398193
Argentina,Wind,10-19 years,0.18930000000000002,0.43868099734448684
Argentina,Wind,20-29 years,0.018,0.04171293160169446
Argentina,Wind,30-39 years,0.0,0.0
Argentina,Wind,40-49 years,0.0,0.0
Argentina,Wind,50+ years,0.0,0.0
Argentina,Hydropower,0-9 years,0.0,0.0
Argentina,Hydropower,10-19 years,0.19,0.4403031669067749
Argentina,Hydropower,20-29 years,0.516,1.1957707059152414
Argentina,Hydropower,30-39 years,3.154,7.309032570652462
Argentina,Hydropower,40-49 years,3.604,8.351855860694824
Argentina,Hydropower,50+ years,2.396,5.5524546732033295
