Country,Status,Non-fossil (GW),Fossil (GW),Non-fossil share (%),Fossil share (%)
Gibraltar,Announced,0.0,0.0,0.0,0.0
Gibraltar,Pre-construction,0.0,0.25,0.0,100.0
Gibraltar,Construction,0.0,0.0,0.0,0.0
Gibraltar,Operating,0.0,0.0,0.0,0.0
Greece,Announced,20.961129,0.557,97.41148498552083,2.588515014479187
Greece,Pre-construction,66.681969,2.721,96.07941844678143,3.9205815532185664
Greece,Construction,7.308435,0.9165,88.85705479739353,11.142945202606464
Greece,Operating,13.031451007968128,9.0626,58.98171866837997,41.018281331620045
Guadeloupe,Announced,0.0,0.0,0.0,0.0
Guadeloupe,Pre-construction,0.01,0.0,100.0,0.0
Guadeloupe,Construction,0.0,0.0,0.0,0.0
Guadeloupe,Operating,0.1946,0.2112,47.95465746673238,52.04534253326762
Guatemala,Announced,0.0,0.0,0.0,0.0
Guatemala,Pre-construction,0.11182844444444444,0.0,100.0,0.0
Guatemala,Construction,0.22839888888888887,0.0,100.0,0.0
Guatemala,Operating,2.3151494814814813,0.795,74.43852764204402,25.561472357955978
Guinea,Announced,0.6052864248704662,1.8,25.164837693002124,74.83516230699789
Guinea,Pre-construction,0.586,0.0,100.0,0.0
Guinea,Construction,0.3,0.0,100.0,0.0
Guinea,Operating,0.815,0.104,88.68335146898804,11.316648531011971
Guinea-Bissau,Announced,0.0703307512953368,0.0,100.0,0.0
Guinea-Bissau,Pre-construction,0.0,0.0,0.0,0.0
Guinea-Bissau,Construction,0.0,0.0,0.0,0.0
Guinea-Bissau,Operating,0.009026683937823833,0.0,100.0,0.0
Guyana,Announced,0.017955185185185185,0.3,5.647080476051249,94.35291952394876
Guyana,Pre-construction,0.2131008888888889,0.3,41.53196642289107,58.46803357710895
Guyana,Construction,0.00696,0.3,2.2673964034401877,97.73260359655981
Guyana,Operating,0.005007685185185185,0.072,6.502838220812497,93.4971617791875
Haiti,Announced,0.032,0.0,100.0,0.0
Haiti,Pre-construction,0.0,0.0,0.0,0.0
Haiti,Construction,0.011508888888888888,0.0,100.0,0.0
Haiti,Operating,0.0,0.0,0.0,0.0
Honduras,Announced,0.3327987037037037,0.0,100.0,0.0
Honduras,Pre-construction,0.828,0.0,100.0,0.0
Honduras,Construction,0.2,0.07,74.07407407407408,25.925925925925924
Honduras,Operating,1.7727970740740742,1.0997999999999999,61.71408757858953,38.28591242141049
Hong Kong,Announced,0.4,0.0,100.0,0.0
Hong Kong,Pre-construction,0.0,0.13,0.0,100.0
Hong Kong,Construction,0.12,0.77,13.48314606741573,86.51685393258427
Hong Kong,Operating,0.060917075910147174,10.2055,0.5933625670935125,99.40663743290649
Hungary,Announced,0.29012,0.0,100.0,0.0
Hungary,Pre-construction,0.16937,0.0,100.0,0.0
Hungary,Construction,2.5477236051502143,1.54,62.326219951375386,37.67378004862461
