Country,Type,Age Category,Capacity (MW),Capacity %
Australia,Utility-scale solar,20-29 years,0.0,0.0
Australia,Utility-scale solar,30-39 years,0.0,0.0
Australia,Utility-scale solar,40-49 years,0.0,0.0
Australia,Utility-scale solar,50+ years,0.0,0.0
Australia,Wind,0-9 years,10.187700000000001,13.350619233792372
Australia,Wind,10-19 years,3.628,4.754365222788139
Australia,Wind,20-29 years,0.4671,0.6121179701114497
Australia,Wind,30-39 years,0.0,0.0
Australia,Wind,40-49 years,0.0,0.0
Australia,Wind,50+ years,0.0,0.0
Australia,Hydropower,0-9 years,0.0,0.0
Australia,Hydropower,10-19 years,0.14,0.18346503064783334
Australia,Hydropower,20-29 years,0.03,0.039313935138821435
Australia,Hydropower,30-39 years,0.481,0.6303334267257703
Australia,Hydropower,40-49 years,1.583,2.0744653108251443
Australia,Hydropower,50+ years,5.967,7.819541699111583
Australia,Bioenergy,0-9 years,0.0,0.0
Australia,Bioenergy,10-19 years,0.176,0.23064175281441907
Australia,Bioenergy,20-29 years,0.128,0.16773945659230477
Australia,Bioenergy,30-39 years,0.012,0.015725574055528574
Australia,Bioenergy,40-49 years,0.0,0.0
Australia,Bioenergy,50+ years,0.0,0.0
Austria,Oil and gas,0-9 years,0.246,1.1345668196210326
Austria,Oil and gas,10-19 years,2.597,11.977520449413909
Austria,Oil and gas,20-29 years,1.379,6.360031074217089
Austria,Oil and gas,30-39 years,0.194,0.8947396870182127
Austria,Oil and gas,40-49 years,0.0,0.0
Austria,Oil and gas,50+ years,0.31,1.4297386751321954
Austria,Utility-scale solar,0-9 years,0.826784,3.8131776154209582
Austria,Utility-scale solar,10-19 years,0.0,0.0
Austria,Utility-scale solar,20-29 years,0.0,0.0
Austria,Utility-scale solar,30-39 years,0.0,0.0
Austria,Utility-scale solar,40-49 years,0.0,0.0
Austria,Utility-scale solar,50+ years,0.0,0.0
Austria,Wind,0-9 years,1.154,5.322317519685657
Austria,Wind,10-19 years,1.438,6.632142628516442
Austria,Wind,20-29 years,0.498,2.2968060006962365
Austria,Wind,30-39 years,0.0,0.0
Austria,Wind,40-49 years,0.0,0.0
Austria,Wind,50+ years,0.0,0.0
Austria,Hydropower,0-9 years,1.416,6.53067730318448
Austria,Hydropower,10-19 years,1.145,5.2808089775044
Austria,Hydropower,20-29 years,0.235,1.0838341569550514
Austria,Hydropower,30-39 years,0.762,3.5143899046797835
Austria,Hydropower,40-49 years,3.427,15.805530450574304
Austria,Hydropower,50+ years,5.849,26.975940357574874
Austria,Bioenergy,0-9 years,0.111,0.5119386869021733
Austria,Bioenergy,10-19 years,0.0945,0.4358396929032015
Austria,Bioenergy,20-29 years,0.0,0.0
