Country,Status,Non-fossil (GW),Fossil (GW),Non-fossil share (%),Fossil share (%)
Bosnia and Herzegovina,Announced,0.8909444404201377,0.2375,78.95332800686448,21.046671993135526
Bosnia and Herzegovina,Pre-construction,4.162872216588193,1.05,79.85755344896558,20.14244655103442
Bosnia and Herzegovina,Construction,0.48375,0.0,100.0,0.0
Bosnia and Herzegovina,Operating,2.776028877218399,1.99,58.246161505395136,41.753838494604864
Botswana,Announced,0.5626670984455959,0.615,47.77811141945469,52.22188858054532
Botswana,Pre-construction,3.1546900259067354,0.0,100.0,0.0
Botswana,Construction,0.0,0.7,0.0,100.0
Botswana,Operating,0.11880000000000002,0.802,12.901824500434406,87.09817549956558
Brazil,Announced,263.6389185185185,31.041900000000002,89.46592446835855,10.53407553164145
Brazil,Pre-construction,141.0154436851852,10.482700000000001,93.0806412903757,6.919358709624301
Brazil,Construction,7.8984367777777775,3.3129,70.45044613621305,29.549553863786944
Brazil,Operating,181.84256387037036,28.2512,86.55305160917045,13.446948390829549
Brunei,Announced,0.0,0.5,0.0,100.0
Brunei,Pre-construction,0.0,0.0,0.0,0.0
Brunei,Construction,0.03,0.0,100.0,0.0
Brunei,Operating,0.0052,0.432,1.1893870082342177,98.8106129917658
Bulgaria,Announced,2.884947253218884,0.24,92.31987036732266,7.680129632677336
Bulgaria,Pre-construction,3.1094782403433476,0.042,98.66729208336771,1.332707916632297
Bulgaria,Construction,0.347382660944206,0.0,100.0,0.0
Bulgaria,Operating,8.675787901287553,4.186,67.45398048757318,32.546019512426824
Burkina Faso,Announced,0.321,0.0,100.0,0.0
Burkina Faso,Pre-construction,0.11967145077720207,0.0,100.0,0.0
Burkina Faso,Construction,0.0,0.0,0.0,0.0
Burkina Faso,Operating,0.19471541968911915,0.2019,49.09426361732073,50.905736382679265
Burundi,Announced,0.006525,0.0,100.0,0.0
Burundi,Pre-construction,0.0,0.0,0.0,0.0
Burundi,Construction,0.0,0.0,0.0,0.0
Burundi,Operating,0.051,0.03,62.96296296296296,37.03703703703704
Cabo Verde,Announced,0.02408162694300518,0.0,100.0,0.0
Cabo Verde,Pre-construction,0.0,0.0,0.0,0.0
Cabo Verde,Construction,0.005,0.0,100.0,0.0
Cabo Verde,Operating,0.05124175388601036,0.0,100.0,0.0
Cambodia,Announced,4.737501557632399,0.0,100.0,0.0
Cambodia,Pre-construction,0.2935202492211838,0.0,100.0,0.0
Cambodia,Construction,0.23,1.165,16.48745519713262,83.51254480286738
Cambodia,Operating,1.80550507788162,2.2555,44.45956218364155,55.54043781635845
Cameroon,Announced,2.560721761658031,0.5,83.66398389218025,16.336016107819738
Cameroon,Pre-construction,2.23,0.35,86.43410852713178,13.565891472868216
Cameroon,Construction,0.026026,0.0,100.0,0.0
Cameroon,Operating,1.5756797357512953,0.364,81.23401542579852,18.765984574201475
Canada,Announced,5.18639437113402,8.991,36.582140803629,63.41785919637098
