Country,Type,Age Category,Capacity (MW),Capacity %
Austria,Hydropower,30-39 years,0.703,3.5992910778950074
Austria,Hydropower,40-49 years,3.266,16.721599801429722
Austria,Hydropower,50+ years,5.335,27.31467695671389
Austria,Bioenergy,0-9 years,0.111,0.5683091175623697
Austria,Bioenergy,10-19 years,0.0945,0.4838307352220174
Austria,Bioenergy,20-29 years,0.0,0.0
Austria,Bioenergy,30-39 years,0.0,0.0
Austria,Bioenergy,40-49 years,0.0,0.0
Austria,Bioenergy,50+ years,0.0,0.0
Azerbaijan,Oil and gas,0-9 years,0.7843,10.57179058607861
Azerbaijan,Oil and gas,10-19 years,2.1696,29.244621771715103
Azerbaijan,Oil and gas,20-29 years,0.507,6.8339893244190435
Azerbaijan,Oil and gas,30-39 years,2.4,32.350245322693695
Azerbaijan,Oil and gas,40-49 years,0.0,0.0
Azerbaijan,Oil and gas,50+ years,0.0,0.0
Azerbaijan,Utility-scale solar,0-9 years,0.2675,3.605704426591901
Azerbaijan,Utility-scale solar,10-19 years,0.0174,0.23453927858952928
Azerbaijan,Utility-scale solar,20-29 years,0.0,0.0
Azerbaijan,Utility-scale solar,30-39 years,0.0,0.0
Azerbaijan,Utility-scale solar,40-49 years,0.0,0.0
Azerbaijan,Utility-scale solar,50+ years,0.0,0.0
Azerbaijan,Wind,0-9 years,0.05,0.6739634442227854
Azerbaijan,Wind,10-19 years,0.0,0.0
Azerbaijan,Wind,20-29 years,0.0,0.0
Azerbaijan,Wind,30-39 years,0.0,0.0
Azerbaijan,Wind,40-49 years,0.0,0.0
Azerbaijan,Wind,50+ years,0.0,0.0
Azerbaijan,Hydropower,0-9 years,0.182,2.4532269369709385
Azerbaijan,Hydropower,10-19 years,0.0,0.0
Azerbaijan,Hydropower,20-29 years,0.15,2.021890332668356
Azerbaijan,Hydropower,30-39 years,0.0,0.0
Azerbaijan,Hydropower,40-49 years,0.43,5.796085620315954
Azerbaijan,Hydropower,50+ years,0.424,5.71521000700922
Azerbaijan,Bioenergy,0-9 years,0.0,0.0
Azerbaijan,Bioenergy,10-19 years,0.037,0.4987329487248612
Azerbaijan,Bioenergy,20-29 years,0.0,0.0
Azerbaijan,Bioenergy,30-39 years,0.0,0.0
Azerbaijan,Bioenergy,40-49 years,0.0,0.0
Azerbaijan,Bioenergy,50+ years,0.0,0.0
BRICS,Coal,0-9 years,483.7288,12.580906367964337
BRICS,Coal,10-19 years,751.1705,19.536578609495557
BRICS,Coal,20-29 years,194.12789999999998,5.048913633650805
BRICS,Coal,30-39 years,86.0033,2.2367894254713536
BRICS,Coal,40-49 years,35.9847,0.935896604418191
BRICS,Coal,50+ years,21.681099999999997,0.5638859812656835
BRICS,Oil and gas,0-9 years,189.50864,4.928775081740556
BRICS,Oil and gas,10-19 years,163.3228,4.247729005495984
BRICS,Oil and gas,20-29 years,59.8855,1.5575129458877128
BRICS,Oil and gas,30-39 years,40.9358,1.0646657112367808
BRICS,Oil and gas,40-49 years,32.6053,0.8480045562707607
BRICS,Oil and gas,50+ years,30.6732,0.7977541490311176
BRICS,Utility-scale solar,0-9 years,476.8612873656969,12.402294853758484
BRICS,Utility-scale solar,10-19 years,38.22503654260555,0.9941636835651209
BRICS,Utility-scale solar,20-29 years,0.0,0.0
BRICS,Utility-scale solar,30-39 years,0.0,0.0
BRICS,Utility-scale solar,40-49 years,0.0,0.0
BRICS,Utility-scale solar,50+ years,0.0,0.0
BRICS,Wind,0-9 years,348.81140000000005,9.07195015777137
BRICS,Wind,10-19 years,135.9055,3.5346548942121645
BRICS,Wind,20-29 years,0.7138,0.0185646398673243
BRICS,Wind,30-39 years,0.025,0.0006502045344397695
BRICS,Wind,40-49 years,0.0,0.0
BRICS,Wind,50+ years,0.0,0.0
BRICS,Hydropower,0-9 years,136.158,3.5412219600100054
BRICS,Hydropower,10-19 years,209.339,5.4445266814034765
BRICS,Hydropower,20-29 years,65.191,1.6954993521865205
BRICS,Hydropower,30-39 years,38.379,0.9981679930905566
BRICS,Hydropower,40-49 years,64.769,1.6845238996451775
BRICS,Hydropower,50+ years,72.759,1.8923292688521276
BRICS,Nuclear,0-9 years,49.898,1.2977562343790248
BRICS,Nuclear,10-19 years,25.834,0.6718953577086803
BRICS,Nuclear,20-29 years,9.547,0.24830010761185917
BRICS,Nuclear,30-39 years,10.44,0.27152541358204774
BRICS,Nuclear,40-49 years,11.284,0.2934763186647344
BRICS,Nuclear,50+ years,1.309,0.03404470942326634
BRICS,Bioenergy,0-9 years,36.426300000000005,0.9473818173145352
BRICS,Bioenergy,10-19 years,15.4024,0.40058841285020425
BRICS,Bioenergy,20-29 years,3.3775999999999997,0.08784523342095063
BRICS,Bioenergy,30-39 years,1.0205,0.026541349095831394
BRICS,Bioenergy,40-49 years,0.706,0.018361776052579094
BRICS,Bioenergy,50+ years,0.5287000000000001,0.013750525494332248
BRICS,Geothermal,0-9 years,1.013,0.02634628773549946
BRICS,Geothermal,10-19 years,0.57845,0.01504443251786739
BRICS,Geothermal,20-29 years,0.50945,0.013249868002813622
BRICS,Geothermal,30-39 years,0.275,0.007152249878837466
BRICS,Geothermal,40-49 years,0.03,0.0007802454413277234
BRICS,Geothermal,50+ years,0.0,0.0
Bahamas,Oil and gas,0-9 years,0.1943,78.88753552578157
Bahamas,Oil and gas,10-19 years,0.052,21.11246447421843
Bahamas,Oil and gas,20-29 years,0.0,0.0
Bahamas,Oil and gas,30-39 years,0.0,0.0
Bahamas,Oil and gas,40-49 years,0.0,0.0
Bahamas,Oil and gas,50+ years,0.0,0.0
Bahrain,Oil and gas,0-9 years,3.9728999999999997,42.78376049967693
Bahrain,Oil and gas,10-19 years,2.168,23.346973939263407
Bahrain,Oil and gas,20-29 years,1.647,17.736377342235624
Bahrain,Oil and gas,30-39 years,0.794,8.550506138272668
Bahrain,Oil and gas,40-49 years,0.7,7.538229592935602
Bahrain,Oil and gas,50+ years,0.0,0.0
Bahrain,Utility-scale solar,0-9 years,0.0,0.0
Bahrain,Utility-scale solar,10-19 years,0.0040999999999999995,0.044152487615765665
Bahrain,Utility-scale solar,20-29 years,0.0,0.0
Bahrain,Utility-scale solar,30-39 years,0.0,0.0
Bahrain,Utility-scale solar,40-49 years,0.0,0.0
Bahrain,Utility-scale solar,50+ years,0.0,0.0
Bangladesh,Coal,0-9 years,5.125,19.19620022359734
